SimulationName  Clock.Today  Structure.MainStemNodeNo
()  (yyyy-mm-dd)  ()
Lincoln1993Sowing19Jan1994CultivarWhero  1994-03-07  15.40
Lincoln1993Sowing19Jan1994CultivarWhero  1994-03-11  16.77
Lincoln1993Sowing19Jan1994CultivarWhero  1994-03-14  18.07
Lincoln1993Sowing19Jan1994CultivarWhero  1994-03-18  19.69
Lincoln1993Sowing19Jan1994CultivarWhero  1994-03-22  20.73
Lincoln1993Sowing19Jan1994CultivarWhero  1994-03-30  22.75
Lincoln1993Sowing19Jan1994CultivarPatea  1994-01-19  0.00
Lincoln1993Sowing19Jan1994CultivarPatea  1994-02-01  1.97
Lincoln1993Sowing19Jan1994CultivarPatea  1994-02-04  2.00
Lincoln1993Sowing19Jan1994CultivarPatea  1994-02-08  3.00
Lincoln1993Sowing19Jan1994CultivarPatea  1994-02-11  4.03
Lincoln1993Sowing19Jan1994CultivarPatea  1994-02-15  5.17
Lincoln1993Sowing19Jan1994CultivarPatea  1994-02-18  6.70
Lincoln1993Sowing19Jan1994CultivarPatea  1994-02-22  8.07
Lincoln1993Sowing19Jan1994CultivarPatea  1994-02-25  9.33
Lincoln1993Sowing19Jan1994CultivarPatea  1994-03-03  11.67
Lincoln1993Sowing19Jan1994CultivarPatea  1994-03-07  12.93
Lincoln1993Sowing19Jan1994CultivarPatea  1994-03-11  13.70
Lincoln1993Sowing19Jan1994CultivarPatea  1994-03-14  14.66
Lincoln1993Sowing19Jan1994CultivarPatea  1994-03-18  15.50
Lincoln1993Sowing19Jan1994CultivarPatea  1994-03-22  16.10
Lincoln1993Sowing19Jan1994CultivarPatea  1994-03-30  17.71
Lincoln1993Sowing19Jan1994CultivarSolara  1994-02-01  1.73
Lincoln1993Sowing19Jan1994CultivarSolara  1994-02-04  2.23
Lincoln1993Sowing19Jan1994CultivarSolara  1994-02-08  3.03
Lincoln1993Sowing19Jan1994CultivarSolara  1994-02-11  3.93
Lincoln1993Sowing19Jan1994CultivarSolara  1994-02-15  4.93
Lincoln1993Sowing19Jan1994CultivarSolara  1994-02-18  6.37
Lincoln1993Sowing19Jan1994CultivarSolara  1994-02-22  7.27
Lincoln1993Sowing19Jan1994CultivarSolara  1994-02-25  8.63
Lincoln1993Sowing19Jan1994CultivarSolara  1994-03-03  11.03
Lincoln1993Sowing19Jan1994CultivarSolara  1994-03-07  12.90
Lincoln1993Sowing19Jan1994CultivarSolara  1994-03-11  13.63
Lincoln1993Sowing19Jan1994CultivarSolara  1994-03-14  14.57
Lincoln1993Sowing19Jan1994CultivarSolara  1994-03-18  16.23
Lincoln1993Sowing19Jan1994CultivarSolara  1994-03-22  16.80
Lincoln1993Sowing19Jan1994CultivarSolara  1994-03-30  18.27
Lincoln1993Sowing19Jan1994CultivarSolara  1994-04-06  19.88
Lincoln1993Sowing22Feb1994CultivarMassey  1994-03-14  2.65
Lincoln1993Sowing22Feb1994CultivarMassey  1994-03-18  3.25
Lincoln1993Sowing22Feb1994CultivarMassey  1994-03-23  4.00
Lincoln1993Sowing22Feb1994CultivarMassey  1994-03-30  5.45
Lincoln1993Sowing22Feb1994CultivarMassey  1994-04-06  7.25
Lincoln1993Sowing22Feb1994CultivarMassey  1994-04-12  9.10
Lincoln1993Sowing22Feb1994CultivarMassey  1994-04-20  10.55
Lincoln1993Sowing22Feb1994CultivarMassey  1994-04-29  12.55
Lincoln1993Sowing22Feb1994CultivarMassey  1994-05-04  13.00
Lincoln1993Sowing22Feb1994CultivarMassey  1994-05-11  13.55
