SimulationName OldName Clock.Today FodderBeet.Phenology.Stage FodderBeet.Phenology.StageX FodderBeet.Phenology.AccumulatedThermalTime.Value FodderBeet.Summariser.LiveDM FodderBeet.Bulb.Live.Wt FodderBeet.Petiole.Live.Wt FodderBeet.Leaf.Live.Wt FodderBeet.Total.Wt FodderBeet.TotalDead.Wt FodderBeet.Leaf.LAI FodderBeet.Leaf.PlantAppearedGreenLeafNo FodderBeet.Leaf.PlantAppearedLeafNo FodderBeet.Leaf.PlantSenescedLeafNo FodderBeet.Leaf.CoverGreen
() () () () () (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (g/m2) (m2/m2) () () () (0-1)
Lincoln2014CvRiv_Oct FRNLRivageSD2 2015-05-14 * * * * * * * * * * 30 56.3 28.2 *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2014-11-27 * * * * * * * * * * 4.5 4.5 0.0 *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2014-12-04 * * * * * * * * * * 6.2 6.2 0.0 *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2014-12-11 * * * * * * * * * * 8.1 8.1 0.0 *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2014-12-18 * * * * * * * * * * 9.6 10.8 1.2 *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2014-12-26 * * * * * * * * * * 13.4 15.5 2.1 *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2015-01-02 * * * * * * * * * * 15.9 18.8 2.9 *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2015-01-08 * * * * * * * * * * 17.2 20.9 3.7 *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2015-01-16 * * * * * * * * * * 19.6 23.7 4.1 *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2015-01-22 * * * * * * * * * * 19.6 25.5 5.9 *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2015-01-29 * * * * * * * * * * 21.3 27.6 6.3 *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2015-02-03 * * * * * * * * * * 22.0 28.7 7.2 *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2015-02-10 * * * * * * * * * * 22.3 30.4 8.3 *
Lincoln2014CvBri_Oct FRNLBrigadierSD2 2015-02-19 * * * * * * * * * * 23.2 32.9 10.2 *
